10,78.33,NotExport,79.52,74.87
10 11,77.4,NotExport,79.56,76.63
10 11 2,77.48,NotExport,79.61,76.71
10 11 2 0,77.52,NotExport,79.63,76.76
10 11 2 0 12,77.54,NotExport,79.66,76.8
10 11 2 0 12 3,77.57,NotExport,79.69,76.83
10 11 2 0 12 3 4,77.59,NotExport,79.69,76.82
10 11 2 0 12 3 4 1,77.66,NotExport,79.74,76.87
10 11 2 0 12 3 4 1 9,77.59,NotExport,79.7,76.83
10 11 2 0 12 3 4 1 9 6,77.63,NotExport,79.72,76.85
10 11 2 0 12 3 4 1 9 6 7,77.6,NotExport,79.71,76.84
10 11 2 0 12 3 4 1 9 6 7 13,77.55,NotExport,79.66,76.79
10 11 2 0 12 3 4 1 9 6 7 13 8,77.56,NotExport,79.66,76.78
10 11 2 0 12 3 4 1 9 6 7 13 8 5,77.61,NotExport,79.72,76.83
