12,70.09,NotExport,70.22,69.29
12 9,89.74,NotExport,88.19,88.25
12 9 6,94.81,NotExport,94.37,94.32
12 9 6 4,97.29,NotExport,97.17,97.16
12 9 6 4 3,94.63,NotExport,93.81,93.68
12 9 6 4 3 1,97.02,NotExport,96.6,96.6
12 9 6 4 3 1 11,96.26,NotExport,95.0,95.22
12 9 6 4 3 1 11 5,96.06,NotExport,95.51,95.54
12 9 6 4 3 1 11 5 8,95.9,NotExport,95.52,95.49
12 9 6 4 3 1 11 5 8 0,95.36,NotExport,94.94,95.0
12 9 6 4 3 1 11 5 8 0 10,96.55,NotExport,96.08,96.04
12 9 6 4 3 1 11 5 8 0 10 7,96.86,NotExport,96.63,96.64
12 9 6 4 3 1 11 5 8 0 10 7 2,97.77,NotExport,97.71,97.72
