1065,3.06,5.64,1
1050,2.76,4.38,1
1185,3.24,5.68,1
1480,3.49,7.8,1
735,2.69,4.32,1
1450,3.39,6.75,1
1290,2.52,5.25,1
1295,2.51,5.05,1
1045,2.98,5.2,1
1045,3.15,7.22,1
1510,3.32,5.75,1
1280,2.43,5,1
1320,2.76,5.6,1
1150,3.69,5.4,1
1547,3.64,7.5,1
1310,2.91,7.3,1
1280,3.14,6.2,1
1130,3.4,6.6,1
1680,3.93,8.7,1
845,3.03,5.1,1
780,3.17,5.65,1
770,2.41,4.5,1
1035,2.88,3.8,1
1015,2.37,3.93,1
845,2.61,3.52,1
830,2.68,3.58,1
1195,2.94,4.8,1
1285,2.19,3.95,1
915,2.97,4.5,1
1035,2.33,4.7,1
1285,3.25,5.7,1
1515,3.19,6.9,1
990,2.69,3.84,1
1235,2.74,5.4,1
1095,2.53,4.2,1
920,2.98,5.1,1
880,2.68,4.6,1
1105,2.43,4.25,1
1020,2.64,3.7,1
760,3.04,5.1,1
795,3.29,6.13,1
1035,2.68,4.28,1
1095,3.56,5.43,1
680,2.63,4.36,1
885,3,5.04,1
1080,2.65,5.24,1
1065,3.17,4.9,1
985,3.39,6.1,1
1060,2.92,6.2,1
1260,3.54,8.9,1
1150,3.27,7.2,1
1265,2.99,5.6,1
1190,3.74,7.05,1
1375,2.79,6.3,1
1060,2.9,5.85,1
1120,2.78,6.25,1
970,3,6.38,1
1270,3.23,6,1
1285,3.67,6.8,1
520,0.57,1.95,2
680,1.09,3.27,2
450,1.41,5.75,2
630,1.79,3.8,2
420,3.1,4.45,2
355,1.75,2.95,2
678,2.65,4.6,2
502,3.18,5.3,2
510,2,4.68,2
750,1.3,3.17,2
718,1.28,2.85,2
870,1.02,3.05,2
410,2.86,3.38,2
472,1.84,3.74,2
985,2.89,3.35,2
886,2.14,3.21,2
428,1.57,3.8,2
392,2.03,4.6,2
500,1.32,2.65,2
750,1.85,3.4,2
463,2.55,2.57,2
278,2.26,2.5,2
714,2.53,3.9,2
630,1.58,2.2,2
515,1.59,4.8,2
520,2.21,3.05,2
450,1.94,2.62,2
495,1.69,2.45,2
562,1.61,2.6,2
680,1.69,2.8,2
625,1.59,1.74,2
480,1.5,2.4,2
450,1.25,3.6,2
495,1.46,3.05,2
290,2.25,2.15,2
345,2.26,3.25,2
937,2.27,2.6,2
625,0.99,2.5,2
428,2.5,2.9,2
660,3.75,4.5,2
406,2.99,2.3,2
710,2.17,3.3,2
562,1.36,2.45,2
438,2.11,2.8,2
415,1.64,2.06,2
672,1.92,2.94,2
315,1.84,2.7,2
510,2.03,3.4,2
488,1.76,3.3,2
312,2.04,2.7,2
680,2.92,2.65,2
562,2.58,2.9,2
325,2.27,2,2
607,2.03,3.8,2
434,2.01,3.08,2
385,2.29,2.9,2
407,2.17,1.9,2
495,1.6,1.95,2
345,2.09,2.06,2
372,1.25,3.4,2
564,1.64,1.28,2
625,2.79,3.25,2
465,5.08,6,2
365,2.13,2.08,2
380,2.65,2.6,2
380,3.03,2.8,2
378,2.65,2.76,2
352,3.15,3.94,2
466,2.24,3,2
342,2.45,2.12,2
580,1.75,2.6,2
630,1.25,4.1,3
530,1.22,5.4,3
560,1.09,5.7,3
600,1.2,5,3
650,0.58,5.45,3
695,0.66,7.1,3
720,0.47,3.85,3
515,0.6,5,3
580,0.48,5.7,3
590,0.6,4.92,3
600,0.5,4.6,3
780,0.5,5.6,3
520,0.52,4.35,3
550,0.8,4.4,3
855,0.78,8.21,3
830,0.55,4,3
415,0.34,4.9,3
625,0.65,7.65,3
650,0.76,8.42,3
550,1.39,9.4,3
500,1.57,8.6,3
480,1.36,10.8,3
425,1.28,7.1,3
675,0.83,10.52,3
640,0.58,7.6,3
725,0.63,7.9,3
480,0.83,9.01,3
880,0.58,7.5,3
660,1.31,13,3
620,1.1,11.75,3
520,0.92,7.65,3
680,0.56,5.88,3
570,0.6,5.58,3
675,0.7,5.28,3
615,0.68,9.58,3
520,0.47,6.62,3
695,0.92,10.68,3
685,0.66,10.26,3
750,0.84,8.66,3
630,0.96,8.5,3
510,0.49,5.5,3
470,0.51,9.899999,3
660,0.7,9.7,3
740,0.61,7.7,3
750,0.75,7.3,3
835,0.69,10.2,3
840,0.68,9.3,3
560,0.76,9.2,3
